기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
아세아텍,신입 · 경력 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,드론,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-,135
윈디텍,신입 · 경력 · 정규직,면접 후 결정,"대전 유성구 테크노중앙로 47, 713호",드론,중소기업업종기타 엔지니어링 서비스업설립일,-,-,136
하이텍알씨디코리아,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 19, 1908호 (가산동,대륭테크노타운18차)",드론,"외부감사법인, 수출입 기업업종레이더, 항행용 무선기기 및 측량기구 제..",34,-,137
지오캡쳐,신입 · 경력 · 정규직,면접 후 결정,-,드론,"중소기업업종기타 측정, 시험, 항해, 제어 및 정밀기..홈페이지",-,-,138
로보스텍,경력(년수무관) · 정규직 외,면접 후 결정,부산 기장군 기장읍 읍내로15번길 11,드론,"중소기업, 주식회사업종주형 및 금형 제조업",10,10억,139
프리뉴,경력 1년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만",140
프리뉴,신입 · 경력 · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만",141
네드솔루션스,신입 · 경력 · 정규직,면접 후 결정,"대전 유성구 테크노중앙로 47, 713호",드론,중소기업업종기타 엔지니어링 서비스업설립일,-,-,142
베셀에어로스페이스,신입 · 경력 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 281,드론,"중소기업, 연구소, 주식회사, 병역특례 ..업종유인 항공기, 항공우주선 및 보조장치 제..",110,"24억 8,520만",143
(재)전남테크노파크,경력 3년↑ · 정규직,면접 후 결정,전남 순천시 해룡면 율촌산단4로 13,드론,기타업종비주거용 건물 임대업,5,-,144
한컴어썸텍,경력무관 · 정규직,면접 후 결정,"대전 유성구 유성대로1689번길 70, 케이티대덕2연구센터 연구3동 504호",드론,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",8,"8억 1,461만",145
글로벌산업기술교육원,경력무관 · 위촉직 외,"시급 15,000원","서울 금천구 시흥대로 422, B1,4,5,6층",드론,"중소기업, 학교/교육기관업종기타 기술 및 직업훈련학원",10,10억,146
프리뉴,경력 2년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만",147
아세아텍,경력무관 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,드론,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-,148
아크로사,경력무관 · 계약직,"시급 10,000원","경기 수원시 권선구 호매실로90번길 24, 247호,248호 (호매실동,수원프리마비즈타워)",드론,"중소기업, 주식회사업종무인 항공기 및 무인 비행장치 제조업",4,-,149
헬셀,경력무관 · 정규직 외,면접 후 결정,"경기 하남시 미사대로 520, 현대지식산업센터 한강미사2차 디에이동 323호,324호,325호",드론,"중소기업, 연구소, 주식회사, 수출입 기업업종항공기용 부품 제조업",21,-,150
웨더피아,신입 · 병역특례,면접 후 결정,"서울 영등포구 의사당대로1길 34, 9층 901호",드론,"중소기업, 주식회사, 연구소, 병역특례 ..업종기타 자연과학 연구개발업설립일",-,-,151
엔젤스윙,신입 · 경력 · 정규직,면접 후 결정,"서울 서초구 강남대로 311, 1402호 (서초동,한화생명보험빌딩)",드론,"중소기업, 스타트업, 주식회사, 병역특례..",18,"7,200만",152
해양드론기술,경력(년수무관) · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","부산 영도구 해양로 435-1, 613호, 618호",드론,중소기업업종유선 통신장비 제조업,11,-,153
에이디시스템,신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 권선구 산업로156번길 142-10, A동 6층 612호",드론,중소기업업종무인 항공기 및 무인 비행장치 제조업,10,"6억 1,620만",154
위프코,경력무관 · 정규직,면접 후 결정,"경기 용인시 수지구 신수로 767, A동 502호,503호 (동천동,분당수지유타워)",드론,"중소기업, 스타트업, 수출입 기업업종건물 및 토목 엔지니어링 서비스업",64,"118억 6,276만",155
성우엔지니어링,경력무관 · 계약직,면접 후 결정,충북 청주시 흥덕구 옥산면 신촌길 23-22,드론,"중소기업, 수출입 기업업종무인 항공기 및 무인 비행장치 제조업매출액",-,-,156
포항직업전문학교,경력(년수무관) · 정규직,면접 후 결정,경북 포항시 남구 냉천로 58,드론,"중소기업, 학교/교육기관업종운전학원매출액",-,-,157
드론장,경력무관 · 정규직 외,면접 후 결정,서울 강서구 강서로17길 78,드론,"중소기업업종장난감 및 취미, 오락용품 도매업",4,-,158
프리뉴,경력 2년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만",159
해양드론기술,신입 · 경력 · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","부산 영도구 해양로 435-1, 613호, 618호",드론,중소기업업종유선 통신장비 제조업,11,-,160
아세아텍,경력무관 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,드론,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-,161
신일정보기술,신입 · 경력 · 정규직,"연봉 3,600 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",대구 중구 태평로 256-29,드론,"중소기업, 연구소, 주식회사업종항공기용 부품 제조업",18,-,162
스페이스앤빈,경력무관 · 계약직,면접 후 결정,"서울 노원구 공릉로 232, 130호 (공릉동,서울과학기술대학교 제2창업보육센터)",드론,"중소기업, 주식회사업종전기ㆍ전자공학 연구개발업",14,-,163
새론에스엔아이,경력무관 · 정규직,면접 후 결정,"대전 유성구 문지로 281-25, 3층 (문지동,비케이인스트루먼트)",드론,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",13,"25억 7,700만",164
제이앤에스,경력무관 · 정규직,면접 후 결정,"경기 용인시 기흥구 흥덕중앙로 120, 1006호",드론,"중소기업, 스타트업, 외부감사법인, 연구..업종전자코일, 변성기 및 기타 전자 유도자 ..",69,-,165
베셀에어로스페이스,신입 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 281,드론,"중소기업, 연구소, 주식회사, 병역특례 ..업종유인 항공기, 항공우주선 및 보조장치 제..",110,"24억 8,520만",166
포디게이트,신입 · 경력 · 정규직,"월급 300 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다","경기 수원시 권선구 산업로156번길 142-10, A동 6층 612호",드론,중소기업업종무인 항공기 및 무인 비행장치 제조업,10,"6억 1,620만",167
한국씨앤오테크,경력무관 · 정규직,면접 후 결정,경북 문경시 영순면 새갓길 20,드론,"중소기업, 스타트업, 수출입 기업업종무기 및 총포탄 제조업",103,-,168
비씨디이엔씨,경력무관 · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-,169
태성플랜트검정,경력무관 · 계약직,면접 후 결정,울산 남구 신두왕로 21,드론,"중소기업업종기타 기술 시험, 검사 및 분석업",45,-,170
비씨디이엔씨,경력(년수무관) · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-,171
한국무인항공기술시험원,경력무관 · 아르바이트 외,"시급 12,000원","부산 동구 중앙대로 282, 3층",드론,"중소기업업종전자상거래 소매 중개업기업주소부산 동구 중앙대로 282, 3층",-,-,172
아이티즈,경력무관 · 정규직,면접 후 결정,"대전 유성구 테크노4로 17, A동 6층 602호 (관평동,대덕비즈센터)",드론,중소기업업종무인 항공기 및 무인 비행장치 제조업,9,"50억 8,000만",173
비씨디이엔씨,경력무관 · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-,174
비씨디이엔씨,경력무관 · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-,175
서림테크놀로지,경력 5년↑ · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 145, 1007호",드론,중소기업업종유선 통신장비 제조업,66,-,176
모아플래닛,경력 2년↑ · 프리랜서,면접 후 결정,-,드론,-,-,-,177
베셀에어로스페이스,5 ~ 6년 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 281,드론,"중소기업, 연구소, 주식회사, 병역특례 ..업종유인 항공기, 항공우주선 및 보조장치 제..",110,"24억 8,520만",178
파블로항공,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 벤처로 82, 5층",드론,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업설립일",-,-,179
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,드론,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",180
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,드론,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",181
영풍전자,신입 · 경력 · 정규직,면접 후 결정,경남 창원시 의창구 죽전로82번길 31,드론,"중소기업, 주식회사, 외부감사법인, 수출..업종배전반 및 전기 자동제어반 제조업",227,-,182
에이블이엔씨,경력 2년↑ · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 중랑구 신내역로 111, 1011호 1010호,1011호",드론,중소기업업종내부 통신배선 공사업,114,-,183
포항직업전문학교,경력 1년↑ · 정규직 외,면접 후 결정,경북 포항시 남구 냉천로 58,드론,"중소기업, 학교/교육기관업종운전학원매출액",-,-,184
에어로리서치,신입 · 정규직,면접 후 결정,"경남 양산시 물금읍 부산대학로 144, 204호, 205호 (범어리,신양산코아루캠퍼스시티)",드론,"중소기업, 주식회사업종무인 항공기 및 무인 비행장치 제조업",5,-,185
에스큐엔지니어링,경력무관 · 정규직 외,면접 후 결정,"서울 송파구 중대로 212, 4층",드론,"주식회사, 외부감사법인, 병역특례 인증..업종기타 기술 시험, 검사 및 분석업",139,-,186
프리뉴,신입 · 경력 · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만",187
브이비젼,경력 5년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",드론,중소기업업종경영 컨설팅업설립일*,-,-,188
에이치알포유,경력 2년↑ · 정규직,면접 후 결정,경기 오산시 지곶중앙로 1-19,드론,"코스닥, 중견기업, 스타트업, 주식회사, ..업종디스플레이 제조용 기계 제조업",331,"1,888억 9,011만",189
비에이블컨설팅그룹,경력 4년↑ · 정규직,면접 후 결정,"서울 금천구 가산디지털2로 165, 1501호",드론,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,190
디지트론,신입 · 경력 · 정규직 외,회사내규에 따름,"경기 성남시 분당구 판교로 697, A동 701호 (야탑동,분당테크노파크)",로봇제어,"중소기업, 주식회사, 외부감사법인, 연구..업종그 외 기타 전자부품 제조업",83,-,191
신신사,경력무관 · 정규직,면접 후 결정,경남 김해시 주촌면 서부로1701번안길 142-13,로봇제어,"중소기업, 주식회사업종그 외 기타 전자부품 제조업",203,-,192
