기업이름,분야,평점,연봉,2차산업군
한국게이츠(주) ,제조/화학,3.4,4999,석유/화학/에너지
(주)지에프씨생명과학 ,제조/화학,2.4,3829,석유/화학/에너지
악조노벨분체도료(주) ,제조/화학,2.8,3958,석유/화학/에너지
크로바케미칼(주) ,제조/화학,3.1,3809,석유/화학/에너지
(재)한국건설품질연구원 ,제조/화학,2.8,3768,석유/화학/에너지
(주)리파코 ,제조/화학,3.4,2800,석유/화학/에너지
(주)유니코정밀화학 ,제조/화학,2.9,3554,석유/화학/에너지
(주)이디케이스파솔루션 ,제조/화학,2.8,3235,석유/화학/에너지
미창석유공업(주) ,제조/화학,2.4,3082,석유/화학/에너지
에이알텍(주) ,제조/화학,2.4,3276,석유/화학/에너지
(주)닥터스칼프 ,제조/화학,1.8,2431,석유/화학/에너지
(주)위스컴 ,제조/화학,2.0,3210,석유/화학/에너지
금호미쓰이화학(주) ,제조/화학,3.8,5015,석유/화학/에너지
말표산업(주) ,제조/화학,2.1,2688,석유/화학/에너지
케이지이티에스(주) ,제조/화학,2.7,3503,석유/화학/에너지
(주)예스코 ,제조/화학,3.8,5684,석유/화학/에너지
한주씨엔에스(주) ,제조/화학,1.7,3098,석유/화학/에너지
(주)진영알앤에스 ,제조/화학,1.9,2990,석유/화학/에너지
(주)티피지 ,제조/화학,2.2,3862,석유/화학/에너지
대한잉크(주) ,제조/화학,2.1,2959,석유/화학/에너지
위델소재(주) ,제조/화학,1.5,2887,석유/화학/에너지
(주)리가스 ,제조/화학,2.9,3650,석유/화학/에너지
사빅코리아(주) ,제조/화학,3.1,6872,석유/화학/에너지
케이피엠테크(주) ,제조/화학,1.9,3279,석유/화학/에너지
태경산업(주) ,제조/화학,2.8,3895,석유/화학/에너지
(주)앤아이씨연구소 ,제조/화학,1.8,4083,석유/화학/에너지
(주)에스에이치엘 ,제조/화학,2.3,3305,석유/화학/에너지
(주)에이바자르 ,제조/화학,1.8,3284,석유/화학/에너지
(주)우리앤드세은기술 ,제조/화학,2.7,2747,석유/화학/에너지
고려화공(주) ,제조/화학,2.3,2981,석유/화학/에너지
