기업이름,분야,평점,연봉,2차산업군
(주)우빈 ,제조/화학,2.5,0,반도체/디스플레이
(주)제이엠씨글라스 ,제조/화학,2.0,2973,반도체/디스플레이
(주)제이엠케이네트웍스 ,제조/화학,4.5,4982,반도체/디스플레이
(주)젠텍 ,제조/화학,3.5,4534,반도체/디스플레이
도서출판두리미디어 ,제조/화학,2.5,3785,반도체/디스플레이
디제이코리아 ,제조/화학,2.0,3581,반도체/디스플레이
루미스탈(주) ,제조/화학,4.0,2767,반도체/디스플레이
삼성패션(주) ,제조/화학,3.0,4704,반도체/디스플레이
이셀전자(주) ,제조/화학,4.0,2440,반도체/디스플레이
펄서스테크놀러지(주) ,제조/화학,2.0,4708,반도체/디스플레이
(주)동영테크 ,제조/화학,5.0,0,반도체/디스플레이
(주)랩터 ,제조/화학,1.0,0,반도체/디스플레이
(주)비티솔루션 ,제조/화학,3.0,5960,반도체/디스플레이
(주)엘제이캠 ,제조/화학,5.0,0,반도체/디스플레이
(주)원세미콘 ,제조/화학,2.0,0,반도체/디스플레이
(주)유니버셜스탠다드테크놀러지 ,제조/화학,3.0,0,반도체/디스플레이
(주)이솔 ,제조/화학,2.0,0,반도체/디스플레이
(주)커널로그 ,제조/화학,3.0,2379,반도체/디스플레이
(주)파인에바 ,제조/화학,1.0,4084,반도체/디스플레이
나래플러스(주) ,제조/화학,2.0,2438,반도체/디스플레이
남양테크윈(주) ,제조/화학,4.0,2846,반도체/디스플레이
동부솔라(주) ,제조/화학,5.0,2992,반도체/디스플레이
아시스토코리아(주) ,제조/화학,3.0,0,반도체/디스플레이
에스디이엔지(주) ,제조/화학,4.0,2450,반도체/디스플레이
에스에이치(주) ,제조/화학,3.0,4875,반도체/디스플레이
에이디에스테크놀로지(주) ,제조/화학,2.0,2564,반도체/디스플레이
