기업이름,분야,평점,연봉,2차산업군
국제산공(주) ,건설업,2.1,4019,건설업
나무경영아카데미 ,건설업,2.5,3363,건설업
에이스마케팅(주) ,건설업,1.8,2988,건설업
한은이엔씨(주) ,건설업,2.0,3016,건설업
(주)노무라마이크로사이언스코리아 ,건설업,3.0,4204,건설업
(주)드림엔지니어링 ,건설업,2.4,4079,건설업
대림아이앤에스(주) ,건설업,2.8,2298,건설업
대선이엔씨(주) ,건설업,3.4,4199,건설업
대성글로벌네트웍(주) C&C ,건설업,2.5,2563,건설업
디브이씨(주) ,건설업,1.9,2344,건설업
맥이에이(주) ,건설업,3.0,3488,건설업
삼일기업공사(주) ,건설업,2.9,4028,건설업
서한 ,건설업,3.5,3362,건설업
씨브이네트(주) ,건설업,3.2,4633,건설업
에프이씨씨(주) ,건설업,2.1,3710,건설업
우림건설(주) ,건설업,2.7,5003,건설업
태인종합건설(주) ,건설업,1.4,3661,건설업
퍼블릭프로코리아(주) ,건설업,2.6,3552,건설업
혜동브릿지(주) ,건설업,2.6,3591,건설업
(주)내인생의책 ,건설업,1.8,2487,건설업
(주)아데스클래스 ,건설업,2.5,2975,건설업
(주)에이커트리 ,건설업,2.5,4250,건설업
(주)에코밸리 ,건설업,2.5,3187,건설업
(주)예건 ,건설업,1.8,3288,건설업
(주)웅남 ,건설업,2.9,4071,건설업
(주)일강케이스판 ,건설업,2.8,3082,건설업
(주)일도엔지니어링 ,건설업,2.4,2827,건설업
(주)정신이앤시 ,건설업,3.5,3954,건설업
KCPMC ,건설업,2.8,4348,건설업
관수이앤씨(주) ,건설업,3.4,4590,건설업
다보이앤씨(주) ,건설업,2.8,4692,건설업
대성건설(주) ,건설업,2.7,3029,건설업
두가씨앤씨종합건축사사무소(주) ,건설업,2.6,3700,건설업
디자인본오(주) ,건설업,2.7,3315,건설업
루미디앤디(주) ,건설업,3.0,2505,건설업
상지엔지니어링(주) ,건설업,2.0,3013,건설업
서신엔지니어링(주) ,건설업,2.5,2700,건설업
아이티에스중부(주) ,건설업,3.0,2418,건설업
용마엔지니어링 ,건설업,2.6,3772,건설업
용산(주) ,건설업,2.2,3526,건설업
윙스터디 ,건설업,3.1,1299,건설업
큐에스엔지니어링(주) ,건설업,2.4,4578,건설업
하나건축적산사무소 ,건설업,2.2,3394,건설업
(주)아베크디자인 ,건설업,2.4,3046,건설업
(주)코리아카코 ,건설업,2.8,3588,건설업
(주)태평양해양산업 ,건설업,2.7,3790,건설업
삼우설계건축사무소(주) ,건설업,3.7,7484,건설업
석미건설(주) ,건설업,2.3,3186,건설업
